no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
2,0,0,5036248.187209316,29900000.0,12,778.0,2400000.0,5548875.909627838,22700000.0,8000000.0,0
0,1,1,4100000.0,12200000.0,8,417.0,2700000.0,2200000.0,8800000.0,3300000.0,1
3,0,0,9100000.0,29700000.0,20,506.0,7100000.0,4500000.0,26919894.60176742,8681466.845597949,1
3,0,0,8200000.0,30700000.0,8,467.0,18200000.0,3300000.0,23300000.0,7900000.0,1
5,1,1,5044605.571584097,24200000.0,20,382.0,12400000.0,8200000.0,29400000.0,5000000.0,1
0,0,1,4800000.0,13500000.0,10,438.1678087390396,6800000.0,8300000.0,13700000.0,5100000.0,1
5,0,0,8700000.0,25519550.956781544,4,678.0,11579130.670922164,7832165.554947624,29200000.0,4300000.0,0
2,0,1,5700000.0,15000000.0,20,382.0,13200000.0,5700000.0,11800000.0,6000000.0,1
0,0,1,800000.0,2200000.0,20,782.0,1300000.0,800000.0,2800000.0,600000.0,0
5,1,0,1100000.0,4300000.0,10,388.0,3200000.0,1400000.0,3300000.0,1600000.0,1
4,0,1,2900000.0,11200000.0,2,547.0,8100000.0,4700000.0,9500000.0,3100000.0,0
2,1,1,6700000.0,22700000.0,18,538.0,15300000.0,5800000.0,20400000.0,6400000.0,1
3,1,1,5000000.0,11600000.0,16,463.2163595628481,6400000.0,9600000.0,14600000.0,4300000.0,1
2,0,1,9100000.0,26734553.574574172,14,679.0,10800000.0,7846068.93663959,20900000.0,5000000.0,0
1,1,0,1900000.0,7400000.0,6,469.0,1900000.0,1200000.0,5900000.0,1900000.0,1
5,1,0,4700000.0,10700000.0,10,794.0,5700000.0,3900000.0,16400000.0,4400000.0,0
2,0,1,5026113.7540260805,15083454.206711637,4,663.0,1300000.0,4195819.449397584,14844302.10772366,700000.0,0
4,1,1,2900000.0,9400000.0,14,780.0,2900000.0,2800000.0,6700000.0,4300000.0,0
2,0,0,2700000.0,10300000.0,10,736.0,1000000.0,2797875.6950779287,6200000.0,3300000.0,0
5,0,0,6300000.0,14600000.0,12,652.0,10300000.0,3500000.0,23500000.0,5900000.0,0
