no_of_dependents, education, self_employed, income_annum, loan_term, cibil_score, loan_status
2,0,0,5036248.187209316,12,778.0,0
0,1,1,4100000.0,8,417.0,1
3,0,0,9100000.0,20,506.0,1
3,0,0,8200000.0,8,467.0,1
5,1,1,5044605.571584097,20,382.0,1
0,0,1,4800000.0,10,438.1678087390396,1
5,0,0,8700000.0,4,678.0,0
2,0,1,5700000.0,20,382.0,1
0,0,1,800000.0,20,782.0,0
5,1,0,1100000.0,10,388.0,1
4,0,1,2900000.0,2,547.0,0
2,1,1,6700000.0,18,538.0,1
3,1,1,5000000.0,16,463.2163595628481,1
2,0,1,9100000.0,14,679.0,0
1,1,0,1900000.0,6,469.0,1
5,1,0,4700000.0,10,794.0,0
2,0,1,5026113.7540260805,4,663.0,0
4,1,1,2900000.0,14,780.0,0
2,0,0,2700000.0,10,736.0,0
5,0,0,6300000.0,12,652.0,0
2,0,0,5000000.0,12,434.4495118517031,1
4,0,0,5800000.0,16,530.0,1
4,0,1,6500000.0,18,442.51126911034953,1
0,1,1,4968514.011459557,2,551.0,0
0,1,0,4900000.0,16,470.0773814277279,1
5,1,0,3100000.0,20,514.0,1
4,0,0,8200000.0,12,696.0,0
4,1,1,2400000.0,4,662.0,0
5,1,1,7000000.0,6,336.0,1
3,1,1,9000000.0,10,850.0,0
2,1,0,5034340.301136592,12,421.3896688586447,1
2,0,0,5700000.0,6,363.0,1
1,1,1,800000.0,10,436.0,1
5,1,1,8400000.0,2,830.0,0
3,0,0,4900000.0,8,612.0,0
2,0,1,1700000.0,8,691.0,0
3,1,0,1600000.0,18,636.0,0
5,0,1,8000000.0,6,348.0,1
5,0,0,3600000.0,16,830.0,0
3,1,1,1500000.0,6,352.0,1
1,0,0,7800000.0,2,712.0,0
2,1,0,9100000.0,16,822.0,0
3,0,0,1400000.0,6,540.0,1
2,0,1,800000.0,12,342.0,1
5,0,0,6500000.0,18,787.0,0
4,0,0,8000000.0,16,331.0,1
3,1,1,4200000.0,6,679.0,0
1,0,1,4900000.0,14,677.0,0
3,1,0,5500000.0,12,634.0,0
1,1,1,4973674.785251636,16,662.0,0
4,0,0,7300000.0,16,502.0,1
2,0,0,8700000.0,10,435.0,1
5,1,0,3800000.0,4,689.0,0
1,1,1,8400000.0,12,657.0,0
2,0,1,5100000.0,20,590.0,0
5,1,0,6700000.0,12,818.0,0
2,1,0,4300000.0,18,431.0,1
5,0,1,9300000.0,18,841.0,0
1,0,0,7400000.0,20,421.0,1
4,1,1,5500000.0,16,797.0,0
2,1,0,8500000.0,18,478.0,1
3,1,1,4988913.715090298,18,669.0,0
5,1,1,8800000.0,6,365.0,1
3,1,1,3300000.0,20,586.0,0
4,0,1,3900000.0,18,784.0,0
1,0,0,4100000.0,12,364.0,1
3,1,0,8300000.0,10,715.0,0
0,1,1,2700000.0,20,693.0,1
4,0,0,5600000.0,4,777.0,0
0,0,0,1900000.0,12,448.38223486248427,1
4,1,1,5036796.976578054,20,340.0,1
5,0,1,5300000.0,4,386.0,0
5,1,0,7000000.0,4,418.0,1
3,1,1,5800000.0,16,735.0,0
2,1,0,2600000.0,6,494.0,1
2,1,0,1900000.0,18,671.0,0
4,0,0,5700000.0,16,697.0,0
0,0,0,9000000.0,8,801.0,0
2,1,0,8500000.0,12,576.0,0
0,1,0,700000.0,14,639.0,0
4,0,0,3500000.0,4,470.0,1
0,1,0,8800000.0,4,826.0,0
2,1,1,5021936.306912815,16,363.0,1
3,0,0,3600000.0,20,613.0,0
3,1,1,3000000.0,16,713.0,0
2,0,0,6800000.0,16,439.0,1
5,1,1,1100000.0,18,387.0,1
1,1,1,8700000.0,8,402.0,1
4,0,1,2000000.0,6,837.0,0
2,1,0,4994265.634654879,10,641.0,0
4,0,0,5700000.0,18,489.0,1
4,0,0,8800000.0,18,540.0,1
4,0,0,3800000.0,4,844.0,0
1,0,0,1700000.0,10,452.0,1
2,0,0,1000000.0,10,366.0,1
5,0,0,5061565.273094562,2,670.6689244433408,0
2,0,1,6600000.0,18,470.0,1
2,1,0,8700000.0,20,861.0,0
4,0,0,9400000.0,12,562.0,0
0,0,0,4400000.0,14,463.0,1
4,1,0,5049957.491148678,12,478.0,1
2,1,1,4984131.201471643,2,702.0,0
2,1,1,4300000.0,20,618.0,0
4,0,0,1600000.0,12,633.0,0
5,1,1,6200000.0,10,331.0,1
3,1,1,4200000.0,16,841.0,0
4,1,1,9000000.0,12,764.0,0
0,0,0,2700000.0,6,591.0,0
1,0,1,5018683.419193461,2,719.0,0
2,0,0,3300000.0,14,459.7208462962283,1
0,1,0,4979026.704816217,8,778.0,0
3,0,1,7400000.0,14,456.4346769808898,1
5,1,0,7100000.0,8,502.0,1
5,1,1,7300000.0,18,711.1252559611534,0
1,1,0,8400000.0,14,437.0,1
0,1,1,3300000.0,12,797.0,0
4,1,1,5800000.0,18,456.0,1
0,1,0,600000.0,6,647.0,0
0,1,0,7200000.0,12,379.0,1
1,1,1,9100000.0,2,717.0,0
5,0,0,900000.0,16,545.0,1
2,0,0,800000.0,8,434.5450640659777,1
1,1,0,8500000.0,10,570.0,0
0,1,1,9000000.0,18,865.0,0
3,0,0,7000000.0,14,719.0,0
3,0,0,5043300.261868512,16,821.0,0
4,1,1,4998235.350790035,10,859.0,0
3,1,0,5100000.0,10,395.0,1
2,1,1,700000.0,12,429.0,1
3,0,0,5044056.782215359,12,861.0,0
0,1,1,4966244.450419016,14,565.0,0
5,0,0,8800000.0,10,357.0,1
3,1,1,1800000.0,18,465.0,1
4,1,1,6800000.0,8,479.0,1
3,1,0,1500000.0,16,717.0,0
3,0,0,1600000.0,12,425.0,1
2,1,0,4600000.0,2,786.0,0
5,1,1,2200000.0,6,382.0,1
3,1,1,2900000.0,12,564.0,0
0,0,0,5061840.444199213,8,501.0,1
2,1,1,2500000.0,10,727.0,0
4,1,0,3600000.0,6,692.0665106040793,0
0,0,1,5500000.0,18,829.0,0
4,1,0,6600000.0,20,506.0,1
2,0,1,8600000.0,6,802.0,0
5,1,0,600000.0,14,543.0,1
3,0,1,1400000.0,20,772.0,0
3,0,0,4000000.0,12,572.0,0
0,1,1,4900000.0,16,709.0,0
5,0,0,2000000.0,18,402.0,1
1,1,1,5200000.0,8,481.0,1
5,0,1,8900000.0,6,772.0,0
1,0,1,6500000.0,2,662.4902129818433,0
2,1,0,1300000.0,6,415.0,1
3,1,0,9400000.0,16,548.0,1
