no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
2, Graduate, No,,29900000.0,12,778.0,2400000.0,,22700000.0,8000000.0, Approved
0, Not Graduate, Yes,4100000.0,12200000.0,8,417.0,2700000.0,2200000.0,8800000.0,3300000.0, Rejected
3, Graduate, No,9100000.0,29700000.0,20,506.0,7100000.0,4500000.0,,, Rejected
3, Graduate, No,8200000.0,30700000.0,8,467.0,18200000.0,3300000.0,23300000.0,7900000.0, Rejected
5, Not Graduate, Yes,,24200000.0,20,382.0,12400000.0,8200000.0,29400000.0,5000000.0, Rejected
0, Graduate, Yes,4800000.0,13500000.0,10,,6800000.0,8300000.0,13700000.0,5100000.0, Rejected
5, Graduate, No,8700000.0,,4,678.0,,,29200000.0,4300000.0, Approved
2, Graduate, Yes,5700000.0,15000000.0,20,382.0,13200000.0,5700000.0,11800000.0,6000000.0, Rejected
0, Graduate, Yes,800000.0,2200000.0,20,782.0,1300000.0,800000.0,2800000.0,600000.0, Approved
5, Not Graduate, No,1100000.0,4300000.0,10,388.0,3200000.0,1400000.0,3300000.0,1600000.0, Rejected
4, Graduate, Yes,2900000.0,11200000.0,2,547.0,8100000.0,4700000.0,9500000.0,3100000.0, Approved
2, Not Graduate, Yes,6700000.0,22700000.0,18,538.0,15300000.0,5800000.0,20400000.0,6400000.0, Rejected
3, Not Graduate, Yes,5000000.0,11600000.0,16,,6400000.0,9600000.0,14600000.0,4300000.0, Rejected
2, Graduate, Yes,9100000.0,,14,679.0,10800000.0,,20900000.0,5000000.0, Approved
1, Not Graduate, No,1900000.0,7400000.0,6,469.0,1900000.0,1200000.0,5900000.0,1900000.0, Rejected
5, Not Graduate, No,4700000.0,10700000.0,10,794.0,5700000.0,3900000.0,16400000.0,4400000.0, Approved
2, Graduate, Yes,,,4,663.0,1300000.0,,,700000.0, Approved
4, Not Graduate, Yes,2900000.0,9400000.0,14,780.0,2900000.0,2800000.0,6700000.0,4300000.0, Approved
2, Graduate, No,2700000.0,10300000.0,10,736.0,1000000.0,,6200000.0,3300000.0, Approved
5, Graduate, No,6300000.0,14600000.0,12,652.0,10300000.0,3500000.0,23500000.0,5900000.0, Approved
2, Graduate, No,5000000.0,19400000.0,12,,9500000.0,1600000.0,18000000.0,6100000.0, Rejected
4, Graduate, No,5800000.0,14000000.0,16,530.0,3800000.0,11300000.0,22200000.0,5400000.0, Rejected
4, Graduate, Yes,6500000.0,25700000.0,18,,13100000.0,1700000.0,19500000.0,8500000.0, Rejected
0, Not Graduate, Yes,,,2,551.0,900000.0,600000.0,,, Approved
0, Not Graduate, No,4900000.0,9800000.0,16,,3800000.0,8700000.0,10000000.0,3300000.0, Rejected
5, Not Graduate, No,3100000.0,9500000.0,20,514.0,7900000.0,3100000.0,6600000.0,2600000.0, Rejected
4, Graduate, No,8200000.0,28100000.0,12,696.0,11500000.0,10600000.0,25300000.0,7200000.0, Approved
4, Not Graduate, Yes,2400000.0,5600000.0,4,662.0,4500000.0,4200000.0,5400000.0,2500000.0, Approved
5, Not Graduate, Yes,7000000.0,24000000.0,6,336.0,2300000.0,11900000.0,27500000.0,9700000.0, Rejected
3, Not Graduate, Yes,9000000.0,,10,850.0,,12400000.0,,8000000.0, Approved
2, Not Graduate, No,,25300000.0,12,,20200000.0,5200000.0,25500000.0,9300000.0, Rejected
2, Graduate, No,5700000.0,12000000.0,6,363.0,3600000.0,7400000.0,21700000.0,4300000.0, Rejected
1, Not Graduate, Yes,800000.0,,10,436.0,700000.0,200000.0,2200000.0,1000000.0, Rejected
5, Not Graduate, Yes,8400000.0,22000000.0,2,830.0,3800000.0,3900000.0,19900000.0,5400000.0, Approved
3, Graduate, No,4900000.0,11900000.0,8,612.0,9700000.0,1200000.0,19000000.0,5800000.0, Approved
2, Graduate, Yes,1700000.0,3400000.0,8,691.0,2700000.0,2800000.0,6000000.0,900000.0, Approved
3, Not Graduate, No,1600000.0,6200000.0,18,636.0,3400000.0,700000.0,5300000.0,1400000.0, Approved
5, Graduate, Yes,8000000.0,27200000.0,6,348.0,6400000.0,300000.0,16700000.0,7100000.0, Rejected
5, Graduate, No,3600000.0,7700000.0,16,830.0,7000000.0,1300000.0,10000000.0,2900000.0, Approved
3, Not Graduate, Yes,1500000.0,5100000.0,6,352.0,,200000.0,5600000.0,900000.0, Rejected
1, Graduate, No,7800000.0,18100000.0,2,712.0,8600000.0,11200000.0,21700000.0,9000000.0, Approved
2, Not Graduate, No,9100000.0,24900000.0,16,822.0,,12100000.0,31000000.0,5200000.0, Approved
3, Graduate, No,1400000.0,3400000.0,6,540.0,,1500000.0,3900000.0,800000.0, Rejected
2, Graduate, Yes,800000.0,2300000.0,12,342.0,2200000.0,1300000.0,,800000.0, Rejected
5, Graduate, No,6500000.0,13400000.0,18,787.0,18200000.0,300000.0,16200000.0,5400000.0, Approved
4, Graduate, No,8000000.0,27800000.0,16,331.0,13000000.0,6300000.0,21400000.0,10900000.0, Rejected
3, Not Graduate, Yes,4200000.0,14600000.0,6,679.0,2400000.0,6900000.0,8700000.0,4900000.0, Approved
1, Graduate, Yes,4900000.0,19100000.0,14,677.0,5400000.0,9100000.0,17700000.0,6500000.0, Approved
3, Not Graduate, No,5500000.0,20500000.0,12,634.0,800000.0,8600000.0,18500000.0,8200000.0, Approved
1, Not Graduate, Yes,,19100000.0,16,662.0,,10500000.0,,, Approved
4, Graduate, No,7300000.0,25400000.0,16,502.0,500000.0,1800000.0,20500000.0,10500000.0, Rejected
2, Graduate, No,8700000.0,24700000.0,10,435.0,6800000.0,3500000.0,21800000.0,, Rejected
5, Not Graduate, No,3800000.0,7600000.0,4,689.0,8700000.0,,9300000.0,3400000.0, Approved
1, Not Graduate, Yes,8400000.0,23000000.0,12,657.0,15400000.0,,,8200000.0, Approved
2, Graduate, Yes,5100000.0,19700000.0,20,590.0,7400000.0,9300000.0,19400000.0,3400000.0, Approved
